"","price","vehicleType","gearbox","powerPS","kilometer","fuelType","age"
"40944",4500,"compact","manuell",90,125000,"benzin",9
"40945",2990,"compact","manuell",60,80000,"benzin",15
"40949",7300,"compact","manuell",116,125000,"benzin",11
"40958",999,"compact","manuell",60,125000,"benzin",15
"40963",1111,"compact","manuell",60,150000,"benzin",18
"40967",1500,"compact","manuell",101,150000,"benzin",17
"40969",9000,"coupe","manuell",143,150000,"diesel",10
"40973",7150,"compact","manuell",86,70000,"benzin",4
"40987",15850,"suv","manuell",140,90000,"diesel",8
"40988",16800,"suv","manuell",122,150000,"diesel",13
"40990",9200,"compact","manuell",60,60000,"benzin",5
"40997",11799,"suv","manuell",136,150000,"diesel",8
"41006",22490,"coupe","automatik",140,70000,"diesel",5
"41009",10950,"suv","automatik",190,150000,"diesel",10
"41013",3999,"coupe","manuell",170,150000,"benzin",17
"41014",9800,"suv","automatik",224,150000,"diesel",12
"41027",5200,"coupe","manuell",136,150000,"benzin",25
"41034",2499,"compact","manuell",60,125000,"benzin",12
"41036",25990,"coupe","automatik",224,150000,"diesel",6
"41037",500,"compact","manuell",60,150000,"benzin",20
"41038",1950,"compact","manuell",75,150000,"benzin",14
"41041",1500,"compact","manuell",75,125000,"benzin",18
"41043",6900,"compact","manuell",82,50000,"benzin",7
"41049",850,"coupe","manuell",100,150000,"benzin",23
"41053",900,"cabrio","manuell",110,150000,"benzin",15
"41054",550,"compact","manuell",54,150000,"benzin",17
"41056",3650,"compact","manuell",59,60000,"benzin",9
"41060",2400,"compact","manuell",73,125000,"benzin",7
"41068",25900,"cabrio","manuell",245,40000,"benzin",9
"41069",1350,"compact","manuell",70,90000,"benzin",11
"41075",4900,"compact","manuell",77,100000,"benzin",8
"41080",7999,"compact","manuell",86,70000,"benzin",8
"41088",12500,"compact","automatik",105,30000,"benzin",4
"41091",6666,"compact","manuell",69,40000,"benzin",3
"41093",11300,"suv","automatik",250,150000,"benzin",13
"41097",4650,"cabrio","manuell",109,100000,"benzin",11
"41121",4500,"compact","manuell",68,100000,"benzin",6
"41123",899,"coupe","manuell",102,150000,"benzin",23
"41132",2100,"compact","manuell",68,150000,"benzin",15
"41135",9200,"coupe","manuell",163,150000,"benzin",30
"41142",7250,"suv","automatik",150,125000,"benzin",15
"41147",949,"compact","manuell",54,80000,"benzin",19
"41152",9999,"coupe","automatik",185,150000,"benzin",37
"41156",14399,"suv","automatik",135,30000,"benzin",4
"41157",10900,"suv","manuell",136,150000,"diesel",8
"41158",6500,"compact","manuell",101,50000,"benzin",7
"41161",5700,"compact","manuell",80,50000,"benzin",11
"41162",888,"compact","manuell",45,150000,"benzin",19
"41163",1699,"compact","manuell",75,150000,"benzin",14
"41168",8590,"cabrio","manuell",163,150000,"benzin",17
"41170",700,"compact","manuell",75,150000,"benzin",15
"41175",3800,"compact","manuell",60,100000,"benzin",9
"41176",13200,"suv","manuell",136,125000,"diesel",7
"41186",8500,"compact","manuell",75,100000,"benzin",6
"41188",65000,"cabrio","manuell",231,150000,"benzin",31
"41193",490,"compact","manuell",54,150000,"benzin",20
"41194",16000,"coupe","automatik",294,90000,"benzin",34
"41196",5890,"compact","manuell",87,80000,"benzin",6
"41208",3550,"compact","manuell",68,60000,"benzin",11
"41209",7890,"compact","manuell",103,60000,"benzin",9
"41215",10200,"compact","manuell",75,70000,"diesel",6
"41216",6700,"coupe","automatik",218,150000,"benzin",15
"41218",800,"compact","manuell",84,150000,"benzin",17
"41220",8700,"cabrio","manuell",280,150000,"benzin",12
"41226",7890,"suv","automatik",292,150000,"benzin",16
"41234",2400,"cabrio","manuell",109,150000,"benzin",12
"41236",5299,"suv","automatik",163,150000,"diesel",15
"41242",29795,"suv","automatik",140,50000,"diesel",3
"41243",1150,"compact","manuell",45,150000,"benzin",19
"41245",700,"compact","manuell",75,150000,"benzin",20
"41248",6850,"cabrio","manuell",192,150000,"benzin",24
"41254",2590,"compact","manuell",60,150000,"benzin",14
"41255",2900,"cabrio","automatik",61,150000,"benzin",13
"41260",2400,"compact","manuell",60,80000,"benzin",13
"41261",12999,"compact","manuell",116,40000,"diesel",4
"41262",12499,"suv","automatik",340,150000,"benzin",13
"41263",3490,"compact","manuell",86,150000,"benzin",10
"41267",1950,"compact","manuell",105,150000,"benzin",16
"41269",900,"compact","manuell",60,150000,"benzin",14
"41274",6800,"compact","manuell",75,20000,"benzin",3
"41281",19200,"suv","manuell",131,20000,"diesel",3
"41286",24600,"cabrio","manuell",170,150000,"benzin",29
"41290",1000,"compact","manuell",55,150000,"benzin",17
"41293",1999,"compact","manuell",50,80000,"benzin",14
"41295",200,"compact","manuell",60,150000,"benzin",21
"41298",7100,"suv","automatik",235,150000,"diesel",14
"41300",750,"compact","manuell",60,100000,"benzin",20
"41319",3650,"suv","manuell",145,150000,"benzin",12
"41320",650,"compact","manuell",75,150000,"benzin",21
"41321",3500,"cabrio","manuell",136,150000,"benzin",13
"41323",8750,"cabrio","automatik",163,150000,"benzin",14
"41324",2200,"compact","manuell",75,150000,"benzin",13
"41330",16500,"cabrio","manuell",300,40000,"benzin",11
"41331",18750,"cabrio","automatik",184,40000,"benzin",9
"41336",11300,"coupe","manuell",116,40000,"benzin",5
"41348",3600,"compact","manuell",69,125000,"benzin",10
"41351",4000,"compact","manuell",80,100000,"benzin",9
"41357",3900,"compact","manuell",45,60000,"benzin",31
"41358",17999,"coupe","automatik",306,100000,"benzin",11
"41359",18000,"compact","manuell",85,30000,"benzin",2
"41362",850,"compact","automatik",60,125000,"benzin",20
"41363",1200,"compact","manuell",75,150000,"benzin",21
"41367",2000,"compact","manuell",68,150000,"diesel",16
"41373",7500,"compact","manuell",75,80000,"diesel",6
"41377",14400,"cabrio","automatik",320,125000,"benzin",23
"41379",9000,"cabrio","manuell",120,5000,"benzin",7
"41381",1500,"compact","manuell",75,150000,"benzin",19
"41389",2550,"compact","manuell",203,150000,"benzin",15
"41390",5990,"cabrio","manuell",150,150000,"benzin",19
"41392",32900,"suv","automatik",184,5000,"benzin",2
"41394",700,"compact","manuell",60,150000,"benzin",21
"41399",12000,"suv","automatik",250,150000,"benzin",11
"41400",2900,"coupe","manuell",150,150000,"benzin",25
"41401",1999,"compact","manuell",116,150000,"benzin",23
"41403",7000,"cabrio","automatik",231,125000,"benzin",14
"41404",1600,"compact","manuell",54,150000,"benzin",14
"41405",1298,"compact","manuell",75,125000,"benzin",16
"41411",18000,"suv","automatik",120,20000,"benzin",4
"41412",10490,"coupe","manuell",160,150000,"benzin",8
"41417",12450,"cabrio","automatik",218,150000,"benzin",13
"41420",4699,"compact","manuell",69,125000,"benzin",7
"41427",13750,"suv","manuell",140,100000,"diesel",9
"41437",1950,"compact","manuell",110,150000,"diesel",15
"41439",950,"compact","manuell",50,150000,"benzin",18
"41440",19999,"compact","automatik",185,40000,"benzin",5
"41446",1800,"compact","manuell",69,125000,"benzin",10
"41447",2500,"compact","manuell",77,150000,"benzin",11
"41449",5900,"compact","manuell",60,60000,"benzin",6
"41454",7300,"cabrio","manuell",118,150000,"benzin",15
"41465",5100,"cabrio","manuell",109,80000,"benzin",11
"41466",4899,"compact","manuell",58,40000,"benzin",8
"41484",5400,"cabrio","manuell",125,100000,"benzin",11
"41493",10900,"compact","manuell",86,40000,"benzin",3
"41498",1600,"compact","manuell",75,150000,"benzin",28
"41502",23490,"coupe","automatik",305,70000,"benzin",4
"41505",1450,"compact","automatik",45,125000,"benzin",16
"41511",5400,"cabrio","manuell",98,150000,"benzin",28
"41514",1290,"compact","manuell",60,150000,"benzin",17
"41516",650,"compact","manuell",60,150000,"benzin",18
"41521",1490,"compact","manuell",75,150000,"diesel",14
"41530",1300,"compact","automatik",75,40000,"benzin",27
"41531",4490,"compact","automatik",71,80000,"benzin",9
"41532",9399,"coupe","automatik",218,125000,"benzin",15
"41537",1400,"compact","manuell",75,150000,"benzin",16
"41539",16700,"suv","manuell",120,50000,"diesel",3
"41546",12999,"cabrio","manuell",122,60000,"benzin",6
"41547",1500,"compact","manuell",58,125000,"benzin",16
"41550",1599,"compact","manuell",54,150000,"benzin",33
"41551",1650,"compact","manuell",84,150000,"benzin",17
"41555",550,"compact","manuell",54,150000,"benzin",19
"41557",3799,"cabrio","manuell",110,150000,"benzin",15
"41561",500,"cabrio","manuell",105,125000,"benzin",25
"41562",2590,"coupe","manuell",128,150000,"benzin",16
"41563",13700,"compact","manuell",94,20000,"benzin",2
"41567",800,"compact","manuell",75,150000,"benzin",20
"41568",3500,"compact","manuell",72,150000,"benzin",11
"41573",2000,"compact","manuell",60,150000,"benzin",16
"41575",14300,"suv","manuell",120,150000,"benzin",7
"41578",13500,"suv","manuell",140,125000,"diesel",9
"41588",27900,"coupe","manuell",343,125000,"benzin",13
"41596",1500,"compact","manuell",58,150000,"benzin",16
"41597",13000,"cabrio","automatik",160,50000,"benzin",5
"41598",7249,"coupe","manuell",150,150000,"diesel",13
"41606",40000,"cabrio","manuell",325,60000,"benzin",11
"41607",4250,"suv","automatik",173,150000,"benzin",13
"41609",14999,"cabrio","automatik",306,90000,"benzin",16
"41612",3990,"compact","manuell",180,150000,"benzin",18
"41622",5999,"compact","manuell",82,90000,"benzin",8
"41623",5900,"compact","manuell",69,50000,"benzin",7
"41625",9999,"compact","manuell",90,40000,"benzin",4
"41627",15400,"suv","automatik",170,125000,"diesel",8
"41630",17800,"suv","automatik",224,150000,"diesel",11
"41636",2800,"compact","manuell",75,150000,"benzin",11
"41637",14999,"suv","manuell",136,90000,"diesel",8
"41648",2700,"compact","manuell",75,150000,"benzin",13
"41651",7350,"compact","manuell",120,70000,"benzin",10
"41655",8500,"compact","automatik",170,125000,"benzin",11
"41659",36980,"coupe","automatik",230,20000,"benzin",2
"41667",13999,"coupe","manuell",311,80000,"benzin",11
"41670",9250,"compact","manuell",192,90000,"benzin",9
"41671",8700,"suv","manuell",178,150000,"benzin",25
"41682",15000,"compact","manuell",120,20000,"diesel",2
"41690",1000,"compact","manuell",45,150000,"benzin",22
"41692",3500,"compact","manuell",55,100000,"benzin",17
"41698",5550,"compact","manuell",99,90000,"benzin",8
"41704",6400,"compact","manuell",128,100000,"benzin",8
"41713",600,"compact","manuell",55,150000,"benzin",16
"41717",27900,"coupe","manuell",131,10000,"benzin",43
"41721",4000,"compact","manuell",65,70000,"benzin",11
"41722",3300,"compact","manuell",70,100000,"benzin",12
"41723",8299,"cabrio","automatik",163,150000,"benzin",16
"41739",17600,"cabrio","manuell",122,80000,"benzin",5
"41748",1800,"cabrio","manuell",133,150000,"benzin",25
"41755",500,"compact","manuell",50,90000,"benzin",17
"41764",10900,"cabrio","manuell",122,100000,"benzin",7
"41766",5999,"compact","manuell",60,70000,"benzin",8
"41769",2950,"compact","manuell",80,150000,"benzin",13
"41778",4900,"compact","manuell",75,125000,"benzin",15
"41779",1450,"compact","manuell",50,125000,"benzin",18
"41787",8750,"cabrio","automatik",86,50000,"benzin",6
"41790",2200,"compact","manuell",80,125000,"benzin",13
"41792",499,"compact","manuell",45,150000,"benzin",21
"41793",6400,"compact","manuell",155,100000,"benzin",8
"41803",3790,"coupe","automatik",71,80000,"benzin",10
"41806",2300,"compact","manuell",65,150000,"benzin",13
"41807",12800,"suv","manuell",250,150000,"benzin",11
"41817",4740,"compact","manuell",82,90000,"benzin",8
"41824",9500,"cabrio","manuell",116,40000,"benzin",11
"41826",550,"compact","manuell",60,150000,"benzin",18
"41836",4000,"compact","manuell",60,40000,"benzin",13
"41837",1599,"compact","manuell",69,150000,"diesel",14
"41838",2200,"compact","manuell",103,90000,"benzin",17
"41847",750,"compact","manuell",45,150000,"benzin",23
"41849",3999,"compact","manuell",80,80000,"benzin",10
"41850",800,"coupe","manuell",170,150000,"benzin",17
"41854",10500,"compact","manuell",87,20000,"benzin",4
"41858",18950,"suv","automatik",239,100000,"benzin",10
"41860",3500,"suv","manuell",113,150000,"diesel",19
"41863",31900,"cabrio","manuell",170,40000,"benzin",4
"41866",1490,"compact","manuell",60,150000,"benzin",14
"41869",950,"compact","manuell",60,150000,"benzin",20
"41871",4290,"compact","manuell",86,100000,"diesel",11
"41875",1500,"compact","manuell",68,150000,"benzin",18
"41877",9250,"compact","manuell",60,20000,"benzin",2
"41884",555,"compact","manuell",44,150000,"benzin",20
"41885",19500,"suv","automatik",272,150000,"diesel",8
"41888",301,"compact","manuell",136,30000,"benzin",2
"41889",2500,"compact","manuell",64,70000,"benzin",12
"41891",29000,"coupe","automatik",380,150000,"benzin",48
"41901",2490,"compact","manuell",65,80000,"benzin",13
"41902",1045,"coupe","manuell",102,150000,"benzin",21
"41903",690,"compact","manuell",60,150000,"benzin",21
"41904",35000,"cabrio","manuell",185,150000,"benzin",34
"41905",3999,"compact","manuell",87,80000,"benzin",11
"41908",800,"compact","manuell",60,150000,"benzin",19
"41920",47500,"cabrio","manuell",325,150000,"benzin",10
"41925",3700,"compact","manuell",101,125000,"benzin",10
"41928",7500,"coupe","automatik",69,30000,"benzin",37
"41934",500,"compact","manuell",60,150000,"benzin",17
"41937",650,"compact","manuell",45,150000,"benzin",20
"41942",4500,"compact","manuell",95,70000,"benzin",8
"41943",4990,"compact","manuell",101,150000,"benzin",8
"41947",1550,"coupe","manuell",90,90000,"benzin",29
"41953",999,"compact","manuell",50,150000,"benzin",15
"41957",4650,"suv","automatik",197,150000,"benzin",16
"41965",3800,"compact","manuell",69,80000,"benzin",8
"41968",1850,"compact","manuell",58,125000,"benzin",13
"41969",3700,"cabrio","automatik",143,125000,"benzin",12
"41973",6000,"cabrio","manuell",192,150000,"benzin",16
"41978",32900,"suv","automatik",177,30000,"diesel",2
"41980",4490,"compact","manuell",65,30000,"benzin",8
"41981",10900,"compact","manuell",99,50000,"benzin",4
"41995",9500,"coupe","automatik",224,150000,"diesel",9
"41999",4990,"compact","manuell",75,125000,"diesel",9
"42000",16500,"coupe","automatik",218,60000,"benzin",7
"42002",6950,"cabrio","manuell",134,150000,"benzin",10
"42014",7790,"cabrio","manuell",163,150000,"diesel",12
"42019",10999,"compact","manuell",200,30000,"benzin",16
"42020",7500,"compact","manuell",94,40000,"benzin",5
"42034",5800,"compact","manuell",80,90000,"benzin",9
"42035",8500,"cabrio","manuell",200,90000,"benzin",10
"42037",500,"compact","manuell",55,100000,"benzin",26
"42041",2500,"cabrio","manuell",136,150000,"benzin",16
"42045",1850,"compact","manuell",75,150000,"diesel",14
"42048",2800,"compact","manuell",169,150000,"benzin",15
"42049",300,"compact","manuell",60,125000,"benzin",18
"42050",3000,"compact","manuell",150,150000,"benzin",19
"42051",650,"compact","manuell",60,90000,"benzin",23
"42053",1950,"compact","manuell",58,125000,"benzin",15
"42059",599,"compact","manuell",60,150000,"benzin",12
"42062",14950,"suv","automatik",230,100000,"benzin",11
"42065",150,"coupe","automatik",107,150000,"benzin",22
"42071",1990,"coupe","automatik",218,150000,"benzin",18
"42074",1250,"compact","manuell",58,150000,"benzin",18
"42076",600,"compact","manuell",60,150000,"benzin",19
"42078",999,"compact","manuell",60,150000,"benzin",19
"42083",3990,"cabrio","manuell",110,150000,"benzin",19
"42084",2000,"compact","manuell",60,125000,"benzin",14
"42086",18500,"coupe","automatik",306,100000,"benzin",11
"42094",1400,"compact","manuell",102,125000,"benzin",14
"42102",2690,"suv","manuell",80,150000,"benzin",18
"42107",5999,"compact","manuell",90,150000,"benzin",11
"42108",10450,"suv","automatik",140,150000,"diesel",9
"42112",900,"cabrio","manuell",110,150000,"benzin",15
"42115",5850,"compact","manuell",68,10000,"benzin",4
"42117",5199,"coupe","automatik",136,150000,"benzin",35
"42121",10350,"compact","automatik",99,5000,"benzin",5
"42127",4900,"compact","manuell",68,40000,"benzin",5
"42128",4990,"suv","manuell",85,150000,"diesel",10
"42129",600,"compact","manuell",60,150000,"benzin",16
"42130",24990,"coupe","manuell",265,20000,"benzin",3
"42131",32990,"suv","automatik",500,100000,"benzin",8
"42132",9000,"coupe","manuell",40,80000,"benzin",54
"42134",3480,"compact","manuell",90,150000,"benzin",15
"42136",950,"coupe","manuell",55,150000,"benzin",25
"42139",2499,"compact","manuell",54,150000,"benzin",12
"42141",3600,"compact","manuell",53,125000,"benzin",8
"42144",999,"compact","manuell",50,150000,"benzin",18
"42150",8888,"coupe","manuell",95,90000,"benzin",7
"42151",10600,"suv","automatik",125,150000,"diesel",10
"42161",15920,"suv","automatik",184,70000,"diesel",6
"42163",500,"compact","manuell",75,30000,"benzin",16
"42164",1800,"compact","manuell",63,125000,"benzin",25
"42169",1100,"compact","manuell",82,150000,"benzin",19
"42170",49999,"suv","automatik",245,70000,"diesel",4
"42171",1600,"coupe","manuell",102,150000,"benzin",19
"42176",2900,"compact","manuell",64,125000,"benzin",15
"42185",18500,"suv","manuell",150,30000,"benzin",6
"42186",8999,"compact","manuell",60,20000,"benzin",2
"42187",1990,"compact","manuell",75,150000,"benzin",12
"42188",14280,"suv","manuell",135,50000,"benzin",4
"42191",3250,"compact","manuell",80,150000,"benzin",10
"42196",2000,"coupe","automatik",224,150000,"benzin",17
"42200",32990,"coupe","automatik",286,100000,"diesel",5
"42202",300,"cabrio","manuell",90,150000,"benzin",23
"42203",500,"coupe","manuell",150,150000,"benzin",23
"42204",6750,"cabrio","manuell",90,80000,"benzin",8
"42210",7500,"suv","manuell",150,125000,"diesel",11
"42213",4800,"suv","manuell",176,150000,"benzin",19
"42214",21000,"suv","manuell",163,50000,"diesel",5
"42215",3500,"compact","manuell",76,125000,"benzin",9
"42219",1000,"compact","manuell",60,150000,"diesel",19
"42220",999,"compact","manuell",60,80000,"benzin",16
"42225",4300,"compact","manuell",64,70000,"benzin",14
"42226",9900,"compact","manuell",69,20000,"benzin",3
"42233",3700,"compact","manuell",54,90000,"benzin",12
"42237",7690,"cabrio","manuell",231,150000,"benzin",16
"42248",8600,"compact","manuell",97,40000,"benzin",6
"42251",1500,"compact","manuell",75,150000,"benzin",14
"42261",555,"compact","manuell",55,125000,"benzin",17
"42263",4999,"compact","automatik",71,50000,"benzin",7
"42266",5790,"cabrio","manuell",109,50000,"benzin",11
"42270",1300,"compact","manuell",54,150000,"benzin",17
"42273",5200,"compact","manuell",65,40000,"benzin",7
"42275",8000,"compact","manuell",101,125000,"diesel",9
"42276",2400,"compact","manuell",54,125000,"benzin",10
"42278",6490,"cabrio","manuell",143,150000,"benzin",15
"42283",1100,"compact","manuell",75,150000,"benzin",14
"42291",900,"compact","manuell",75,150000,"benzin",18
"42293",5200,"compact","manuell",75,80000,"benzin",12
"42296",620,"compact","manuell",54,100000,"benzin",18
"42297",8990,"coupe","manuell",131,90000,"benzin",6
"42305",850,"compact","manuell",60,150000,"benzin",16
"42309",1199,"compact","manuell",60,150000,"benzin",13
"42314",800,"compact","manuell",60,150000,"benzin",15
"42321",3500,"suv","manuell",114,150000,"diesel",15
"42331",550,"compact","manuell",60,80000,"benzin",19
"42332",900,"compact","manuell",60,90000,"benzin",16
"42334",800,"compact","manuell",58,150000,"benzin",15
"42337",600,"compact","manuell",60,150000,"benzin",17
"42339",6990,"compact","manuell",75,80000,"diesel",9
"42341",5500,"compact","manuell",60,60000,"benzin",12
"42347",7900,"cabrio","manuell",116,125000,"benzin",10
"42353",600,"compact","manuell",60,150000,"benzin",13
"42356",14000,"coupe","automatik",224,150000,"diesel",9
"42362",9700,"compact","manuell",109,60000,"benzin",5
"42367",899,"compact","manuell",75,90000,"benzin",19
"42368",6900,"cabrio","manuell",116,150000,"benzin",21
"42376",10200,"suv","manuell",156,150000,"diesel",10
"42384",8950,"compact","manuell",75,60000,"diesel",5
"42391",3250,"coupe","manuell",143,150000,"benzin",15
"42394",2850,"compact","manuell",95,125000,"benzin",11
"42395",800,"compact","manuell",69,150000,"benzin",14
"42400",13500,"compact","manuell",100,5000,"benzin",1
"42404",27000,"suv","automatik",235,100000,"diesel",7
"42405",2499,"suv","manuell",120,150000,"benzin",17
"42407",1750,"compact","manuell",88,150000,"benzin",13
"42409",6750,"cabrio","manuell",179,125000,"benzin",17
"42410",5299,"cabrio","automatik",45,125000,"diesel",9
"42411",990,"compact","manuell",60,125000,"benzin",16
"42412",10600,"cabrio","manuell",140,50000,"benzin",7
"42418",6499,"coupe","automatik",192,150000,"benzin",16
"42422",8800,"coupe","manuell",122,125000,"benzin",8
"42439",950,"compact","manuell",60,150000,"benzin",20
"42440",15900,"suv","manuell",177,50000,"benzin",13
"42441",3300,"compact","manuell",60,70000,"benzin",13
"42446",800,"compact","manuell",75,150000,"benzin",16
"42449",1399,"compact","manuell",60,150000,"benzin",15
"42453",22499,"suv","manuell",110,70000,"diesel",6
"42457",800,"compact","manuell",107,150000,"benzin",16
"42460",950,"compact","manuell",60,150000,"benzin",17
"42462",14500,"suv","automatik",239,60000,"diesel",6
"42464",9900,"suv","manuell",150,90000,"diesel",9
"42480",8999,"compact","manuell",110,50000,"benzin",6
"42483",14500,"suv","automatik",239,150000,"diesel",9
"42485",11990,"compact","manuell",69,20000,"benzin",4
"42486",16990,"cabrio","manuell",343,150000,"benzin",12
"42487",2450,"coupe","manuell",133,150000,"benzin",27
"42494",6500,"suv","manuell",83,80000,"benzin",6
"42502",16999,"suv","manuell",150,80000,"benzin",8
"42512",9700,"cabrio","manuell",156,70000,"benzin",6
"42513",1700,"compact","manuell",54,150000,"benzin",15
"42515",3500,"suv","manuell",82,80000,"benzin",16
"42519",10800,"suv","manuell",174,150000,"diesel",11
"42525",3350,"compact","manuell",77,100000,"benzin",9
"42531",3950,"compact","manuell",80,150000,"benzin",10
"42536",24999,"coupe","automatik",272,60000,"benzin",8
"42538",6500,"cabrio","manuell",85,70000,"benzin",20
"42539",9799,"cabrio","automatik",190,150000,"benzin",25
"42543",850,"compact","manuell",54,125000,"benzin",18
"42544",999,"compact","manuell",60,150000,"benzin",18
"42557",24000,"suv","automatik",239,150000,"diesel",8
"42558",4400,"compact","manuell",116,150000,"benzin",13
"42565",16300,"suv","manuell",140,60000,"diesel",5
"42566",2200,"cabrio","automatik",136,150000,"benzin",24
"42573",1590,"compact","manuell",80,125000,"benzin",15
"42575",9500,"suv","manuell",140,100000,"benzin",10
"42577",6750,"compact","manuell",105,150000,"benzin",8
"42582",14000,"suv","automatik",239,60000,"diesel",8
"42584",1750,"compact","manuell",69,125000,"benzin",14
"42591",1800,"compact","manuell",75,150000,"benzin",14
"42592",550,"compact","manuell",54,150000,"benzin",27
"42596",350,"compact","manuell",75,150000,"benzin",18
"42597",7999,"coupe","automatik",220,150000,"benzin",24
"42598",899,"compact","manuell",75,150000,"benzin",15
"42601",900,"compact","manuell",45,125000,"benzin",21
"42604",850,"coupe","manuell",105,150000,"benzin",18
"42606",20890,"cabrio","manuell",140,70000,"diesel",5
"42609",9190,"compact","manuell",75,50000,"benzin",6
"42610",2700,"compact","manuell",64,125000,"benzin",14
"42612",4500,"compact","manuell",75,150000,"diesel",8
"42619",4780,"cabrio","manuell",150,150000,"benzin",23
"42622",5800,"suv","manuell",128,150000,"benzin",12
"42624",13500,"cabrio","manuell",220,125000,"benzin",16
"42628",26500,"cabrio","automatik",400,100000,"benzin",14
"42637",94999,"coupe","automatik",500,60000,"benzin",8
"42638",1200,"compact","manuell",60,150000,"benzin",13
"42640",16900,"cabrio","automatik",306,150000,"benzin",12
"42642",850,"compact","manuell",75,150000,"benzin",19
"42647",11000,"suv","manuell",140,150000,"diesel",9
"42650",6850,"coupe","manuell",231,150000,"benzin",15
"42658",91900,"cabrio","manuell",408,40000,"benzin",6
"42659",8800,"cabrio","manuell",69,60000,"benzin",5
"42676",250,"compact","manuell",60,150000,"benzin",18
"42679",6750,"compact","automatik",71,30000,"benzin",4
"42682",10400,"suv","manuell",165,80000,"benzin",11
"42687",7900,"compact","manuell",109,50000,"benzin",6
"42690",550,"compact","manuell",60,150000,"benzin",18
"42692",9000,"cabrio","manuell",116,40000,"benzin",10
"42693",10800,"cabrio","manuell",163,150000,"benzin",11
"42697",15490,"coupe","manuell",156,50000,"benzin",5
"42701",11500,"cabrio","manuell",163,90000,"benzin",13
"42707",21690,"coupe","automatik",184,100000,"diesel",5
"42715",5199,"compact","manuell",60,80000,"benzin",9
"42717",17400,"coupe","manuell",265,80000,"benzin",11
"42725",1550,"coupe","manuell",136,150000,"benzin",16
"42726",8499,"coupe","manuell",150,150000,"benzin",31
"42728",32500,"suv","automatik",140,30000,"diesel",3
"42729",400,"compact","manuell",50,125000,"benzin",20
"42733",1999,"cabrio","automatik",150,150000,"benzin",20
"42734",8700,"suv","manuell",141,150000,"benzin",9
"42741",1000,"compact","manuell",54,150000,"benzin",17
"42747",2850,"compact","manuell",95,125000,"benzin",11
"42758",3999,"compact","manuell",90,150000,"diesel",8
"42761",13000,"coupe","automatik",190,150000,"diesel",9
"42785",24800,"cabrio","manuell",170,90000,"diesel",7
"42796",2250,"compact","manuell",69,150000,"benzin",13
"42798",800,"compact","manuell",45,90000,"benzin",19
"42800",850,"coupe","manuell",102,10000,"benzin",23
"42804",1881,"cabrio","manuell",75,150000,"benzin",32
"42810",500,"compact","manuell",53,125000,"benzin",17
"42812",2699,"compact","manuell",58,125000,"benzin",9
"42813",690,"compact","manuell",45,125000,"benzin",25
"42814",1750,"coupe","manuell",143,150000,"diesel",15
"42818",1200,"coupe","automatik",54,150000,"benzin",18
"42820",14800,"cabrio","manuell",126,40000,"benzin",6
"42822",54980,"suv","automatik",258,30000,"diesel",4
"42823",10800,"suv","manuell",129,60000,"diesel",10
"42829",8950,"cabrio","automatik",120,60000,"benzin",8
"42835",2440,"suv","manuell",117,150000,"benzin",16
"42837",4299,"cabrio","manuell",101,150000,"benzin",18
"42838",7950,"suv","automatik",184,150000,"diesel",14
"42843",6250,"cabrio","manuell",163,150000,"diesel",14
"42844",2599,"cabrio","manuell",142,150000,"benzin",19
"42849",399,"compact","manuell",55,150000,"benzin",21
"42852",59990,"coupe","automatik",480,90000,"benzin",11
"42857",7000,"suv","manuell",140,125000,"diesel",9
"42859",600,"compact","manuell",60,150000,"benzin",15
"42866",349,"compact","manuell",55,90000,"benzin",25
"42867",9990,"cabrio","automatik",245,150000,"benzin",14
"42870",7500,"compact","manuell",75,70000,"diesel",6
"42881",8888,"cabrio","automatik",71,20000,"benzin",7
"42882",2150,"compact","manuell",68,150000,"diesel",11
"42883",5950,"compact","manuell",60,125000,"benzin",7
"42884",7500,"compact","manuell",86,30000,"benzin",3
"42888",899,"compact","manuell",75,80000,"benzin",17
"42889",2500,"compact","manuell",75,150000,"benzin",17
"42896",10490,"compact","manuell",86,20000,"benzin",3
"42898",5299,"coupe","manuell",170,150000,"diesel",14
"42899",1100,"compact","manuell",60,150000,"benzin",18
"42906",700,"compact","automatik",75,20000,"benzin",24
"42908",19995,"suv","automatik",184,40000,"diesel",5
"42910",15800,"cabrio","manuell",143,60000,"benzin",8
"42912",4899,"compact","manuell",120,150000,"benzin",8
"42916",13000,"cabrio","manuell",231,150000,"benzin",14
"42928",13900,"coupe","automatik",110,70000,"diesel",4
"42929",19500,"suv","manuell",140,60000,"diesel",5
"42931",16200,"compact","automatik",114,5000,"benzin",1
"42934",7999,"compact","manuell",82,60000,"benzin",6
"42935",3400,"cabrio","manuell",170,150000,"benzin",17
"42936",33000,"cabrio","automatik",204,30000,"benzin",5
"42937",3555,"cabrio","manuell",95,150000,"benzin",29
"42938",5499,"coupe","manuell",125,40000,"benzin",11
"42941",450,"compact","manuell",60,125000,"benzin",18
"42942",250,"compact","manuell",75,150000,"benzin",18
"42945",1388,"suv","manuell",80,150000,"benzin",25
"42946",11800,"cabrio","manuell",211,100000,"benzin",12
"42949",6800,"coupe","manuell",143,150000,"benzin",13
"42952",2390,"compact","manuell",54,150000,"benzin",14
"42955",31500,"coupe","automatik",326,90000,"benzin",22
"42958",16990,"cabrio","manuell",170,150000,"benzin",30
